新闻日期,新闻标题,新闻来源,原文链接
2023-04-27 21:34:19,杭州市政协走访金科汤姆猫 调研人工智能的发展与应用,汤姆猫官微,https://mp.weixin.qq.com/s?__biz=MzU5NDA3MzU2NQ==&chksm=fe0796b3c9701fa58949068d35170d8cbeeb0b2e33f9b5e16d87fe855066a7086209a660f64d&idx=1&mid=2247488513&sn=e075ae18746ebd96cd16f35daee31d2c
2023-04-27 20:56:51,山东（济南）人工智能岛建设启动,大众网,https://sd.dzwww.com/sdnews/202304/t20230427_11806324.htm
2023-04-27 20:03:42,张艺谋谈人工智能对电影行业的影响：“中间环节”受冲击较大,中国新闻网,https://www.chinanews.com.cn/yl/shipin/cns-d/2023/04-27/news957906.shtml
2023-04-27 19:41:00,这个人工智能谷项目来了！成都市成华区22个重点项目集中竣工,成都商报,https://static.cdsb.com/micropub/Articles/202304/8cd726f4f19cadeaec4b1662f95949c1.html
2023-04-27 19:12:00,阿里张勇：人工智能和实体经济的深度融合将根本性改造产业,新浪财经,https://finance.sina.com.cn/chanjing/gsnews/2023-04-27/doc-imyrvnhn1424818.shtml
2023-04-27 19:05:04,科交会和中国航天大会相继举办，和生星图空天信息与人工智能产业基金正式签约,方正证券官微,https://mp.weixin.qq.com/s?__biz=MjM5NzY1NjM2Mg==&chksm=bed1caee89a643f84217c556edf702de733bafd290176815583e76300228730c9b547037c129&idx=1&mid=2649999531&sn=2573b9de7d6df56f56e2102d4c82da21
2023-04-27 18:22:26,美国学者支持将人工智能技术运用于公共采购,中国政府采购报,http://www.cgpnews.cn/epapers/63531?epaper_period_id=7250
2023-04-27 18:19:04,人工智能主要有哪些投资方向,湘财证券,https://mp.weixin.qq.com/s?__biz=MjM5MjU1OTk4MQ==&chksm=bd7fe5de8a086cc8c05fd67f1355fd29423fd8b576a26588a8756e8b2199285b04c959be9d88&idx=2&mid=2653889500&sn=c2eac80f9af0591960b1b8416921d17e
2023-04-27 18:03:20,人工智能技术与未来火电厂展望,北极星火力发电网,https://mp.weixin.qq.com/s?__biz=MzI5MzEzMjQ2NA==&chksm=f4687150c31ff846aa65344242fdfda8d2e769d3815a1e30f95065f407e120dab14af98316ab&idx=2&mid=2649362575&sn=2157b49684f619caaf39b794a6d00272
2023-04-27 17:59:25,传音控股：人工智能赋能发展 积极探索中高端市场,砍柴网,http://news.ikanchai.com/2023/0427/538746.shtml
2023-04-27 16:48:23,中国首个大规模抽水蓄能人工智能数据分析平台投用,中国新闻网,http://www.chinanews.com.cn/cj/2023/04-27/9998183.shtml
2023-04-27 16:41:35,人工智能处于萌生自我意识的边缘？AMCS 公开信呼吁采取行动,DoNews,https://www.donews.com/news/detail/8/3477941.html
2023-04-27 16:40:02,快看成立AIGC事业部 漫画平台拥抱人工智能,封面新闻,https://www.thecover.cn/news/xXmCxq2J6PKH90qSdq8Jkw==
2023-04-27 16:22:46,嘉实基金姚志鹏：关注人工智能和可再生能源,中国经济网,http://finance.ce.cn/jjpd/jjpdgd/202304/27/t20230427_38523276.shtml
